index,IT_job_criteria,Is_Programmer/System Developer/Software Engineer,Is_Full Stack Developer,Is_Data Analyst,Is_BI Developer,Is_Data Scientist,Is_IoT Engineer,Is_QA Engineer,Is_System Analyst,Is_Backend Developer,Is_Mobile Developer,Is_IT Support,Is_Project Manager,Is_System Engineer,Is_Database Administrator,Is_Business Analyst,Is_Front-End Developer,Is_System Administrator,Is_Data Engineer,Is_AI Engineer,Is_DevOps Engineer,Is_SAP Specialist,Is_Solution Architect,Is_Scrum Master,Is_Product manager/Owner,Is_Cloud Engineer,Is_Security Analyst,Is_IT Solution Consultant,Is_Presales Engineer,Is_Network Engineer/Senior Network Engineer,Is_bachelor,Is_Master,IS_PhD,is_missing,Degree_1,Degree_2,Is_CS,Is_CPE,IS_IT,Is_MIS,Is_EE,Is_Data Science,Is_Mathematics,Is_Statistics,Is_Finance,Is_Accounting,Is_Information Systems,Is_Business Management,Is_Engineering,Is_Software Engineering,Is_Business Administration,Is_Business Technology,Is_Technology,Is_Network,Is_Software Development,Is_Business Computer,Is_Electronic Engineering,Is_Mechatronics,Is_Cybersecurity,Is_Actuarial Science,Is_Data Engineering,Is_Telecommunication Engineering,Is_Economics,Is_Marketing,Is_Science & Technology,Is_Mechanical Engineering,Is_Computer,Is_Management,Is_Business analytics,Is_Data Analytics,Is_Industrial Engineering,Is_Manufacturing Engineering,Is_Artificial Intelligence,Is_Data Mining,Is_Supply Chain,Is_Accounting Information System,Is_Information Management,Is_Physics,Is_Science,Is_missing,Major_1,Major_2,Major_3,Major_4,Major_5,Major_6,Job_year_experience,Company_name,Is_C#,IS_JAVA,Is_Python,Is_JS,Is_C++,Is_R,Is_C,Is_VB,Is_COBOL,Is_TypeScript,Is_HTML,Is_CSS,Is_Golang,Is_Node.js,Is_VB.NET,Is_PHP,Is_JavaScript(ES6),Is_Ruby,Is_RPG,Is_Kotlin,Is_Dart,Is_Scala,Is_C#.NET,Is_HTML5,Is_Swift,Is_Embedded C,Is_Objective-C,Is_JavaScript (ES6+),Is_CSS3,Is_Bash,Is_PowerShell,Is_Sass,Is_Less,Is_XML,Is_TypeScript 4+,Is_VBA,Is_Rust,Is_JSP,Is_Apex,Is_Servlet,Is_SAS,Is_Missing,Programing_language,Programing_language_1,Programing_language_2,Programing_language_3,Programing_language_4,Programing_language_5,Programing_language_6,Programing_language_7,Is_Spring_Boot,Is_Angular,Is_ASP.NET Core,Is_.NET,Is_React,Is_Vue.js,Is_Next.js,Is_Node.js,Is_Express.js,Is_SAP_CAP,Is_Kafka,Is_Laravel,Is_NumPy,Is_Pandas,Is_TensorFlow,Is_PyTorch,Is_Scikit-learn,Is_Nest.js,Is_Flutter,Is_Nuxt.js,Is_Hibernate,Is_Android_Jetpack,Is_Robot_Framework,Is_Flask,Is_Matplotlib,Is_LangChain,Is_LangGraph,Is_Zend,Is_AngularJS,Is_Angular 16+,Is_Bootstrap,"Is_ASP.NET_MVC
",Is_Cypress,Is_WPF,Is_VB.Net,Is_TailwindCSS,Is_XGBoost,Is_Selenium,Is_Swagger,Is_jQuery,Is_Playwright,Is_JMeter,Is_k6,Is_Apache_Spark,Is_Hadoop,Is_UiPath,Is_Hive,Is_Entity_Framework,Is_XML,Is_React_Native,Is_JBehave,Is_Oracle_EBS,Is_Oracle_Forms,Is_FastAPI,Is_Xamarin,Is_GetX,Is_Apache_Nifi,Is_Django,Is_Django_REST_framework,Is_Codeigniter,Is_AJAX,Is_Svelte,Is_Pyspark,Is_ASP.NET Core MVC,Is_Flux,Is_Koa,Is_Webpack,Is_Ant_Design,Is_Slim,Is_Spring,Is_Struts2,Is_Cloudera,Is_Storm,Is_MapReduce,Is_Svelte_Kit,Is_Java_Spring,Is_Vue.js_2,Is_Angular_14+,Is_Powerbuilder,Is_Nx,Is_Gin,Is_ASP.NET,Is_Visual_Studio.Net,Is_Missing,Is_Frontend_Framwork,Is_Backend_Frameworks ,Is_Data_Science / ML,Is_Big_Data,Is_Testing / QA,Is_Dev_Tool,Is_Mobile_Development,Is_Others / Legacy / Specific Tools ,Is_Missing,Programming_framework_1,Programming_framework_2,Programming_framework_3,Programming_framework_4,Programming_framework_5,Programming_framework_6,Programming_framework_7,Programming_framework_8,Programming_framework_9,Is_SQL,Is_MySQL,Is_PostgreSQL,Is_MongoDB,Is_SQL_Server,Is_PL/SQL,Is_Oracle,Is_AS400,Is_InfluxDB,Is_DB2,Is_Redis,Is_NoSQL,Is_MariaDB,Is_ArangoDB,Is_Firebase,Is_ElasticSearch,Is_RDBMS,Is_SQLite,Is_Realm,Is_BigQuery,Is_HIve_SQL,Is_Cassandra,Is_informix,Is_Talend,Is_Missing,DB_Skill,DB_Skill_1,DB_Skill_2,DB_Skill_3,DB_Skill_4,DB_Skill_5,Is_Git,Is_GitHub,Is_GitLab,Is_BitBucket,Is_Gitflow,Is_Missing,Code_management_skill,Code_management_skill_1,Code_management_skill_2,Code_management_skill_3,Programming Related,AI/ML-Related,DataAnalytic-Related,Web-Tech Related,System Operational,Network-security Related,Cloud Related,QA-Related,Banking,Business/Finance-Knowledge Related,Project Management-Skill,Data science,SAP-related,Interface Desgin,Gaming/3D design,HR-Related,HealthCare,Hardware-Iot,Law-related,Other,Is_Missing,Specialist_skills,Specialist_skill_1,Specialist_skill_2,Specialist_skill_3,Specialist_skill_4,Specialist_skill_5,Specialist_skill_6,Specialist_skill_7,Specialist_skill_8,Specialist_skill_9,Specialist_skill_10,Specialist_skill_11,Specialist_skill_12,Specialist_skill_13,Specialist_skill_14,Specialist_skill_15,Specialist_skill_16,Specialist_skill_17,Specialist_skill_18,Specialist_skill_19,Specialist_skill_20,Specialist_skill_21,Is_PMP,Is_CCNA,Is_MCSA,Is_MCSE,Is_NCA,Is_VCP,Is_Linux+,Is_ServiceNow_CSA,Is_ITSM_certifications,Is_CSM_certifications,Is_TSM_certifications,Is_ISTQB_Agile_Tester,Is_NSE4,Is_NSE5,Is_CCNP,Is_Arista_ACE,Is_Network+,Is_Security+,Is_PMI_ACP,Is_AZ-104,Is_AWS Certified_DevOps_Engineer,Is_Azure_DevOps_Engineer_Expert,Is_Missing,Is_Network_Related,Is_Cloud_Related,Is_System_operation,Is_Microsoft,Is_Finance_Business,Is_Project_Mgmt,Is_Missing,IT_Certificate_1,IT_Certificate_2,IT_Certificate_3,IT_Certificate_4,IT_Certificate_5,IT_Certificate_6,IT_Certificate_7,English_profiency,Non_English_proficency,Is_Thai,Is_Japanese,Is_Korean,Non_English_lang,Non_English_lang_{i},Is_TOEIC,Is_IELTS,Is_TOEFL_iBT,Is_missing,English_test,English_test_score,Non_English_Test_score,Is_JLPT,Non_English_Test_{i},Non_English_Test_score_{i},Company_salary,ism_tech_salary,Selected_Salary,Salary_with_Noise,Salary_Scaled,,,Remarks,,,,,,,,,,,,,,
175,IoT Engineer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bachelor,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Computer Engineering,Computer Science,Network,Electronic Engineering,Mechatronics,,10,RIVERPLUS COMPANY LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Network system design, installation, and testing",Cloud technology,Internet of Things (IoT) integration,Wireless communication technology,Sensor technology and applications,Electrical circuit design and analysis,Embedded systems development,Microcontroller programming and implementation,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,,,0,0,0,1,,,,0,,,40000,,40000,38600,-0.364402535,https://www.jobtopgun.com/th/job/4801/144,,,,,,,53,Xamarin,hive,,,,,,,
176,IT Support,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bachelor,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Computer Science,Computer Engineering,Information Technology,,,,2,"Mind Edge Innovation Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,1,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Windows OS,Microsoft Office 365,Networking,Troubleshooting,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,1,,0,0,0,,,0,0,0,1,,,,0,,,25000,<35000,25000,26250,-0.826024013,https://www.jobtopgun.com/th/job/23083/983,,,,,,,54,GetX,entity framework,,,,,,,
177,IT Support,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bachelor,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Computer Science,Computer Engineering,Information Technology,,,,3,"Mind Edge Innovation Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,1,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Windows OS,Microsoft Office 365,Networking,Troubleshooting,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,1,,0,0,0,,,0,0,0,1,,,,0,,,30000,35000,30000,30627,-0.662419381,https://www.jobtopgun.com/th/job/23083/983,,,,,,,55,Apache Nifi,Apache Spark,,,,,,,
178,Project Manager,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bachelor,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Technology,Engineering,Cybersecurity,Business Administration,,,3,S C M TECHNOLOGIES COMPANY LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,1,,,,,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Project Management,Cybersecurity Solution Knowledge,SLA Management,Compliance & Standards ,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,,,0,0,0,1,,,,0,,,30000,<150000,30000,29291,-0.712356732,https://www.jobtopgun.com/th/job/21800/31,,,,,,,56,Django,xml,,,,,,,
179,Project Manager,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bachelor,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Technology,Engineering,Cybersecurity,Business Administration,,,5,S C M TECHNOLOGIES COMPANY LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,1,,,,,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Project Management,Cybersecurity Solution Knowledge,SLA Management,Compliance & Standards ,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,,,0,0,0,1,,,,0,,,80000,<150000,80000,81548,1.240918861,https://www.jobtopgun.com/th/job/21800/31,,,,,,,57,Django REST framework,react native,,,,,,,
180,Database Administrator,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,4,"TrueBlue Recruitment Co.,Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SQL,,,,,,0,0,0,0,0,1,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,End-to-end database management,ETL,PL,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,1,,0,0,0,,,0,0,0,1,,,,0,,,100000,65000,100000,105000,2.117513752,https://www.facebook.com/share/p/19qt3R4HTF/,,Agency,,,,,58,Codeigniter,jbehave,,,,,,,
181,Front-End Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,2,Siamrajathanee Public Company Limited,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TypeScript,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Next.js,TailwindCSS,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,UX/UI Design,End-to-end Development,Figma,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,,,0,0,0,1,,,,0,,,28000,45000,28000,26600,-0.812941623,https://www.facebook.com/share/p/16oNhBQHHj/,,Agency,,,,,59,AJAX,.NET,,,,,,,
182,System Engineer,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bachelor,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Computer Engineering,Information Technology,,,,,2,"S C M Technologies Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linux,Arista,VMware,Hyper-V,Nutanix,DellEMC,Lenovo,Hitachi,HPE,NetApp,,,,,,,,,,,,,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,NCA,VCP,MCSA,Linux+,,,,,,0,0,0,,,0,0,0,1,,,,0,,,40000,67500,40000,40414,-0.296598376,https://th.jobsdb.com/job/85124550?type=standard&ref=search-standalone#sol=15cb43301ca96841a125112130ca3eea6d6e29ef,,,,,,,60,Svelte,oracle ebs,,,,,,,
183,System Engineer,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bachelor,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Computer Engineering,Information Technology,,,,,5,"S C M Technologies Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linux,Arista,VMware,Hyper-V,Nutanix,DellEMC,Lenovo,Hitachi,HPE,NetApp,,,,,,,,,,,,,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,NCA,VCP,MCSA,Linux+,,,,,,0,0,0,,,0,0,0,1,,,,0,,,60000,80000,60000,57103,0.32720736,https://th.jobsdb.com/job/85124550?type=standard&ref=search-standalone#sol=15cb43301ca96841a125112130ca3eea6d6e29ef,,,,,,,61,,oracle forms,,,,,,,
184,Business Analyst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bachelor,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Computer Science,Information Technology,Business Administration,,,,3,"1577 Infinite Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,1,,,,,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Call Center,CRM,E-Commerce,ERP,Workflow,BI tools,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,,,0,0,0,1,,,,0,,,50000,60000,50000,48107,-0.009047442,https://th.jobsdb.com/job/85379640?type=standard&ref=search-standalone#sol=3d17347f334c797460d4f64c9bf5344f4e9446ba,,,,,,,62,,FastAPI,,,,,,,
185,Business Analyst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bachelor,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Computer Science,Information Technology,Business Administration,,,,5,"1577 Infinite Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,1,,,,,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Call Center,CRM,E-Commerce,ERP,Workflow,BI tools,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,,,0,0,0,1,,,,0,,,55000,80000,55000,57750,0.351391093,https://th.jobsdb.com/job/85379640?type=standard&ref=search-standalone#sol=3d17347f334c797460d4f64c9bf5344f4e9446ba,,,,,,,63,,xamarin,,,,,,,
186,Data Analyst,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bachelor,,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Statistics,Data Science,Business Administration,Computer Engineering,,,3,"1577 Infinite Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SQL,,,,,,0,0,0,0,0,1,,,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Power BI,Excel,Sales,Inventory,Call Center,CRM,End-to-end business,Telesales,E-commerce,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,0,0,0,,,0,0,0,1,,,,0,,,40000,60000,40000,39303,-0.33812562,https://th.jobsdb.com/job/85378920?type=standard&ref=search-standalone#sol=83ab6fb1c410c46d53f4c9bb9ede2954196ba3d0,,,,,,,64,,getx,,,,,,,
